contributor,label,origin,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
group_7003188_bot_1c43791bfaf6fa383edb61b41b542d37,Bot,bot-heuristic,89,4,8.0,3,0.375,11.125,10.5,6.686,0.31,7.5,22.25,17.0,18.099,0.368,16.25,4.684,4.0,2.75,0.324,4.0,2.5,2.5,0.926,0.188,1.0,28.009,0.002,84.833,0.877,0.077,85.3,19.715,125.593,0.683,147.903,23.495,0.0,74.323,0.879,0.019,20.867,0.001,70.286,0.904,0.043
project_12547113_bot_b8224086cb676225f2e4ef4aa7bab4be,Bot,bot-heuristic,124,2,1.0,1,1.0,124.0,124.0,0.0,0.0,0.0,62.0,62.0,86.267,0.492,61.0,124.0,124.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1454.082,1454.082,0.0,0.0,0.0,,,0.0,0.0,,11.822,4.286,19.846,0.679,15.819,8.957,8.957,0.0,0.0,0.0
project_12547113_bot_449d35270874b50867c0421ccdb3dbfd,Bot,bot-heuristic,63,1,1.0,1,1.0,63.0,63.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,175.325,175.325,0.0,0.0,0.0,,,0.0,0.0,,2.828,0.513,6.453,0.785,1.725,,,0.0,0.0,
project_12547113_bot_dd3f8407827b3a2117a9443742505cff,Bot,bot-heuristic,60,3,1.0,1,1.0,60.0,60.0,0.0,0.0,0.0,20.0,29.0,16.462,0.322,14.5,60.0,60.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1413.431,1413.431,0.0,0.0,0.0,,,0.0,0.0,,23.956,0.001,53.07,0.833,1.681,22.249,0.001,51.431,0.846,0.006
project_37860711_bot_d42bd95d96d7c144d5c27aa7b9707c28,Bot,bot-heuristic,9,2,1.0,1,1.0,9.0,9.0,0.0,0.0,0.0,4.5,4.5,4.95,0.389,3.5,9.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1923.32,1923.32,0.0,0.0,0.0,,,0.0,0.0,,240.415,325.095,167.043,0.349,275.718,88.761,88.761,0.0,0.0,0.0
project_37860711_bot_f160792279140129f8d274a55325322c,Bot,bot-heuristic,8,2,1.0,1,1.0,8.0,8.0,0.0,0.0,0.0,4.0,4.0,4.243,0.375,3.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1923.264,1923.264,0.0,0.0,0.0,,,0.0,0.0,,274.752,336.185,147.531,0.257,151.222,88.721,88.721,0.0,0.0,0.0
project_32950782_bot_676e94dbaba63ca2192d97337d2ec2ad,Bot,bot-heuristic,131,2,1.0,1,1.0,131.0,131.0,0.0,0.0,0.0,65.5,65.5,91.217,0.492,64.5,131.0,131.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1334.834,1334.834,0.0,0.0,0.0,,,0.0,0.0,,10.268,2.487,29.255,0.777,6.073,0.628,0.628,0.0,0.0,0.0
project_1641463_bot_a011c902ee78fa1607870cd59eb1d454,Bot,bot-heuristic,51,1,1.0,1,1.0,51.0,51.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1871.969,1871.969,0.0,0.0,0.0,,,0.0,0.0,,37.439,0.001,71.781,0.765,48.0,,,0.0,0.0,
rybot,Bot,bot-heuristic,165,1,1.0,1,1.0,165.0,165.0,0.0,0.0,0.0,165.0,165.0,0.0,0.0,0.0,165.0,165.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2173.821,2173.821,0.0,0.0,0.0,,,0.0,0.0,,13.255,10.321,15.397,0.455,14.815,,,0.0,0.0,
group_2452873_bot_c753d848f7cfc2edc234301f571b4d3c,Bot,bot-heuristic,172,1,17.0,1,0.059,10.118,5.0,11.672,0.553,10.0,172.0,172.0,0.0,0.0,0.0,1.354,1.0,0.841,0.221,0.0,1.0,1.0,0.0,0.0,0.0,2.583,0.0,8.876,0.61,0.0,14.683,6.437,20.277,0.615,12.121,12.737,5.38,18.427,0.633,11.096,,,0.0,0.0,
project_39903947_bot_7ec79239d246a8e5d3c811a7cddba44e,Bot,bot-heuristic,75,2,1.0,1,1.0,75.0,75.0,0.0,0.0,0.0,37.5,37.5,51.619,0.487,36.5,75.0,75.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,302.943,302.943,0.0,0.0,0.0,,,0.0,0.0,,4.094,0.611,10.23,0.802,3.602,0.049,0.049,0.0,0.0,0.0
project_42451983_bot_3634f85b729cc615f28b2c5c006d7c60,Bot,bot-heuristic,61,1,1.0,1,1.0,61.0,61.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2157.715,2157.715,0.0,0.0,0.0,,,0.0,0.0,,35.962,24.0,68.843,0.33,1.003,,,0.0,0.0,
service_account_group_59800588_0f6fd8e977a6c86f7522a46f254943dc,Bot,bot-heuristic,205,5,40.0,5,0.125,5.125,3.0,5.525,0.376,2.0,41.0,48.0,25.02,0.297,30.0,1.83,1.0,1.755,0.312,1.0,3.125,3.0,0.607,0.077,0.0,0.056,0.0,0.322,0.934,0.001,0.792,0.005,5.098,0.954,0.018,0.462,0.003,3.778,0.966,0.008,0.554,0.002,4.184,0.965,0.007
group_65781592_bot_10f9b39957a4fffd40f0e0274ab938c4,Bot,bot-heuristic,93,4,2.0,1,0.5,46.5,46.5,17.678,0.134,12.5,23.25,22.0,19.068,0.395,20.25,2.325,2.0,1.913,0.363,1.25,4.0,4.0,0.0,0.0,0.0,5.412,0.002,26.662,0.919,0.016,35.031,0.04,64.565,0.784,21.492,17.203,0.017,47.78,0.891,0.146,12.399,0.014,43.214,0.923,0.036
project_44832549_bot_03f92d37326c887e2c4cbab93b88fd96,Bot,bot-heuristic,106,5,1.0,1,1.0,106.0,106.0,0.0,0.0,0.0,21.2,5.0,31.847,0.623,13.0,106.0,106.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,991.979,991.979,0.0,0.0,0.0,,,0.0,0.0,,9.447,0.0,53.616,0.874,0.0,39.679,0.0,105.864,0.839,0.001
vls-bot,Bot,bot-heuristic,19,1,1.0,1,1.0,19.0,19.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2010.516,2010.516,0.0,0.0,0.0,,,0.0,0.0,,111.695,41.226,133.35,0.576,144.852,,,0.0,0.0,
project_46519181_bot_4fb290001473e8da9660b5693528052a,Bot,bot-heuristic,287,1,1.0,1,1.0,287.0,287.0,0.0,0.0,0.0,287.0,287.0,0.0,0.0,0.0,287.0,287.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2179.55,2179.55,0.0,0.0,0.0,,,0.0,0.0,,7.621,2.586,17.403,0.719,6.647,,,0.0,0.0,
group_11547342_bot_2109d40483336b6cd2bb1c570aedb817,Bot,bot-heuristic,252,3,16.0,1,0.062,15.75,17.0,5.273,0.178,6.25,84.0,48.0,63.222,0.291,55.0,1.392,1.0,0.573,0.191,1.0,2.688,3.0,0.704,0.097,0.0,0.026,0.0,0.093,0.793,0.001,0.628,0.155,1.989,0.801,0.199,0.469,0.111,1.703,0.826,0.203,0.276,0.088,0.846,0.791,0.2
lkft-bot,Bot,bot-heuristic,190,3,6.0,4,0.667,31.667,37.5,22.598,0.356,29.0,63.333,43.0,71.696,0.488,69.5,2.043,2.0,1.525,0.335,2.0,2.333,2.5,0.816,0.167,1.0,3.612,0.001,10.944,0.804,0.594,4.757,2.356,5.655,0.62,8.355,4.093,0.649,6.807,0.722,5.334,1.862,0.044,3.618,0.805,1.727
project_19168116_bot_16862f3c25076feb1242be2daf5fd0c5,Bot,bot-heuristic,32,2,1.0,1,1.0,32.0,32.0,0.0,0.0,0.0,16.0,16.0,4.243,0.094,3.0,32.0,32.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2064.01,2064.01,0.0,0.0,0.0,,,0.0,0.0,,66.581,23.996,139.353,0.764,48.006,44.307,11.995,122.506,0.803,24.0
project_19168116_bot_01c4d50f7f8a8c70cda8a2058024838c,Bot,bot-heuristic,220,1,1.0,1,1.0,220.0,220.0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2175.559,2175.559,0.0,0.0,0.0,,,0.0,0.0,,9.934,3.243,17.992,0.697,9.198,,,0.0,0.0,
project_17599543_bot_e4d0a07ae8cb8ab4d58d027b57caa5e1,Bot,bot-heuristic,298,1,1.0,1,1.0,298.0,298.0,0.0,0.0,0.0,298.0,298.0,0.0,0.0,0.0,298.0,298.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,987.382,987.382,0.0,0.0,0.0,,,0.0,0.0,,3.325,0.003,9.089,0.868,1.322,,,0.0,0.0,
project_17599543_bot_301fc5196d400b4b3e94832c66c6619e,Bot,bot-heuristic,135,1,1.0,1,1.0,135.0,135.0,0.0,0.0,0.0,135.0,135.0,0.0,0.0,0.0,135.0,135.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,81.271,81.271,0.0,0.0,0.0,,,0.0,0.0,,0.606,0.016,3.056,0.94,0.062,,,0.0,0.0,
group_2750817_bot_7524e552e4fd2f2808784981efe6a190,Bot,bot-heuristic,153,3,6.0,1,0.167,25.5,24.5,2.95,0.056,5.25,51.0,47.0,6.928,0.052,6.0,1.912,2.0,0.944,0.263,2.0,3.0,3.0,0.0,0.0,0.0,7.291,0.0,59.733,0.972,0.002,10.452,0.002,42.067,0.899,3.614,9.27,0.001,52.722,0.952,0.072,6.55,0.001,34.276,0.943,0.092
project_27428957_bot_9295a4e20b10f069c424738f9a676c7e,Bot,bot-heuristic,5,1,1.0,1,1.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1703.231,1703.231,0.0,0.0,0.0,,,0.0,0.0,,425.808,350.296,269.149,0.289,307.921,,,0.0,0.0,
tuxedo_bot,Bot,bot-heuristic,134,2,2.0,1,0.5,67.0,67.0,26.87,0.142,19.0,67.0,67.0,0.0,0.0,0.0,4.188,2.0,4.2,0.397,2.0,2.0,2.0,0.0,0.0,0.0,17.006,0.001,58.663,0.907,3.105,48.734,4.336,128.969,0.826,15.741,15.451,0.002,67.618,0.914,3.405,15.796,0.001,71.329,0.924,3.27
sosy-bot,Bot,bot-heuristic,293,5,5.0,2,0.4,58.6,51.0,52.204,0.43,101.0,58.6,4.0,113.057,0.74,24.0,2.817,2.0,2.925,0.462,2.0,2.2,2.0,1.304,0.291,2.0,7.646,0.002,19.11,0.707,3.408,5.868,3.42,7.44,0.571,5.837,4.793,1.294,8.175,0.71,5.03,5.511,1.308,9.391,0.72,5.031
project_44042130_bot_6a748251ed338313e01f6ff147fd9943,Bot,bot-heuristic,7,2,1.0,1,1.0,7.0,7.0,0.0,0.0,0.0,3.5,3.5,0.707,0.071,0.5,7.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,653.882,653.882,0.0,0.0,0.0,,,0.0,0.0,,108.98,28.418,203.458,0.72,56.13,296.8,296.8,316.731,0.377,223.963
project_32123684_bot_be425336386caa73c30c0e9c056321b8,Bot,bot-heuristic,31,1,1.0,1,1.0,31.0,31.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2055.742,2055.742,0.0,0.0,0.0,,,0.0,0.0,,68.525,40.8,70.083,0.549,146.789,,,0.0,0.0,
ecg_cicd_readonly,Bot,bot-heuristic,51,1,2.0,2,1.0,25.5,25.5,13.435,0.186,9.5,51.0,51.0,0.0,0.0,0.0,8.5,7.0,7.583,0.448,9.25,1.0,1.0,0.0,0.0,0.0,279.977,36.987,406.623,0.581,593.535,37.002,20.051,34.266,0.439,58.673,37.297,0.003,129.787,0.899,16.08,,,0.0,0.0,
ecg_cicd,Bot,bot-heuristic,266,4,5.0,3,0.6,53.2,24.0,87.308,0.654,25.0,66.5,73.5,44.755,0.316,62.0,5.783,2.0,12.989,0.673,3.75,3.4,3.0,0.548,0.071,1.0,12.021,0.001,50.784,0.889,0.032,7.978,0.003,18.76,0.838,0.023,3.442,0.001,10.701,0.901,0.002,3.661,0.001,11.371,0.898,0.002
group_67740146_bot_7c548ecafb02767811ea1226de16525a,Bot,bot-heuristic,293,6,2.0,1,0.5,146.5,146.5,130.815,0.316,92.5,48.833,40.5,51.456,0.516,78.0,8.371,4.0,11.123,0.561,6.5,5.0,5.0,1.414,0.1,1.0,21.176,0.026,39.282,0.758,24.013,12.575,7.001,16.609,0.608,15.801,4.002,0.006,12.117,0.892,0.039,4.326,0.002,12.999,0.89,0.031
goldenbot,Bot,bot-heuristic,288,6,37.0,6,0.162,7.784,5.0,6.201,0.426,9.0,48.0,31.0,63.482,0.603,55.5,1.986,2.0,1.889,0.337,1.0,2.757,3.0,0.895,0.141,0.0,0.054,0.001,0.26,0.904,0.003,1.595,0.085,4.299,0.865,0.34,0.828,0.018,3.139,0.919,0.145,0.946,0.014,3.654,0.927,0.144
project_18741849_bot_0043dba7678c07339a15902cd5914876,Bot,bot-heuristic,35,1,1.0,1,1.0,35.0,35.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1845.042,1845.042,0.0,0.0,0.0,,,0.0,0.0,,54.266,0.319,102.78,0.794,80.821,,,0.0,0.0,
project_13284652_bot_2543ca0eba500916f6eda618379f4d80,Bot,bot-heuristic,190,1,1.0,1,1.0,190.0,190.0,0.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,704.583,704.583,0.0,0.0,0.0,,,0.0,0.0,,3.728,1.664,7.05,0.656,3.937,,,0.0,0.0,
project_56933558_bot_36e281ee2e14cd7a0f83ceda95b5ba16,Bot,bot-heuristic,55,1,1.0,1,1.0,55.0,55.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1929.821,1929.821,0.0,0.0,0.0,,,0.0,0.0,,35.737,14.999,47.274,0.636,64.193,,,0.0,0.0,
group_53986711_bot_92822790c8858b5599712ccf944c70dd,Bot,bot-heuristic,41,3,12.0,3,0.25,3.417,3.0,1.929,0.262,0.25,13.667,12.0,2.887,0.081,2.5,2.412,3.0,0.939,0.172,2.0,2.667,3.0,0.778,0.104,0.0,0.001,0.001,0.001,0.324,0.001,119.829,49.67,146.466,0.62,187.003,47.932,0.001,108.56,0.84,17.438,38.896,0.001,98.747,0.868,0.004
project_20709159_bot_634d0086ed2e482c9e4a46885aee794a,Bot,bot-heuristic,6,2,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,2.828,0.333,2.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1212.711,1212.711,0.0,0.0,0.0,,,0.0,0.0,,242.542,169.74,293.208,0.574,328.1,706.258,706.258,0.0,0.0,0.0
project_20709159_bot_50ab284ad923fb28343eefc783ba3bf4,Bot,bot-heuristic,254,4,1.0,1,1.0,254.0,254.0,0.0,0.0,0.0,63.5,20.0,101.264,0.663,81.5,254.0,254.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1452.549,1452.549,0.0,0.0,0.0,,,0.0,0.0,,5.741,0.003,21.983,0.919,0.011,12.851,0.02,34.447,0.836,21.93
project_21078483_bot_1f7939d3e07a4ef6b7006929794a7700,Bot,bot-heuristic,23,2,1.0,1,1.0,23.0,23.0,0.0,0.0,0.0,11.5,11.5,14.849,0.457,10.5,23.0,23.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1445.989,1445.989,0.0,0.0,0.0,,,0.0,0.0,,65.727,10.351,116.845,0.736,83.155,14.715,14.715,0.0,0.0,0.0
dsi11,Bot,bot-heuristic,297,8,5.0,2,0.4,59.4,40.0,50.978,0.384,21.0,37.125,35.0,39.848,0.5,36.75,3.857,2.0,4.85,0.528,3.0,4.0,4.0,2.121,0.26,3.0,1.553,0.006,4.504,0.838,0.017,4.112,0.043,7.325,0.78,4.769,1.46,0.004,4.584,0.896,0.024,2.098,0.002,5.348,0.866,0.042
titouan-joseph,Human,bot-heuristic,173,8,6.0,2,0.333,28.833,12.0,44.799,0.656,25.25,21.625,11.5,29.042,0.596,25.75,6.179,2.0,11.431,0.629,4.25,3.333,3.0,2.422,0.367,3.5,4.7,0.355,9.721,0.708,4.055,4.564,2.017,5.859,0.627,6.417,1.482,0.071,3.573,0.841,0.6,1.023,0.069,2.941,0.864,0.3
project_32123952_bot_30cbdeb6c55c6ebb7cd1b28fb6153def,Bot,bot-heuristic,300,2,1.0,1,1.0,300.0,300.0,0.0,0.0,0.0,150.0,150.0,128.693,0.303,91.0,300.0,300.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,459.61,459.61,0.0,0.0,0.0,,,0.0,0.0,,1.537,0.621,2.44,0.686,2.022,1.641,0.769,2.228,0.577,1.481
project_32123952_bot_4098d754e27bdeda9d8a8114f24ddb16,Bot,bot-heuristic,53,1,1.0,1,1.0,53.0,53.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2113.005,2113.005,0.0,0.0,0.0,,,0.0,0.0,,40.635,0.002,94.767,0.849,23.997,,,0.0,0.0,
project_32123952_bot_c403d0e43bc93e2f7011a6ffa3865002,Bot,bot-heuristic,6,2,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1464.001,1464.001,0.0,0.0,0.0,,,0.0,0.0,,292.8,0.0,401.023,0.008,720.0,292.8,0.0,401.023,0.008,720.0
project_32123952_bot_a21e07eef6c0ecb53725926f82c6965a,Bot,bot-heuristic,13,1,1.0,1,1.0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1767.359,1767.359,0.0,0.0,0.0,,,0.0,0.0,,147.28,66.529,180.549,0.565,153.183,,,0.0,0.0,
miabbott,Human,bot-heuristic,29,8,7.0,4,0.571,4.143,3.0,3.237,0.335,1.0,3.625,3.5,2.2,0.306,2.25,1.706,1.0,1.724,0.345,1.0,2.286,3.0,0.951,0.196,1.5,16.742,0.0,62.567,0.76,0.003,91.734,1.975,140.991,0.713,128.174,62.584,0.373,120.269,0.8,63.172,73.42,0.14,135.88,0.786,87.535
group_7286989_bot_878321f63c336c0a0060dfeab8305e9d,Bot,bot-heuristic,292,5,7.0,2,0.286,41.714,39.0,9.123,0.114,13.0,58.4,44.0,66.729,0.51,44.0,3.65,3.0,3.073,0.344,2.0,4.143,4.0,0.9,0.108,1.5,1.826,0.012,13.644,0.976,0.015,4.257,0.921,8.968,0.787,1.861,1.658,0.006,7.717,0.938,0.013,1.757,0.001,8.825,0.948,0.009
failfastci-bot,Bot,bot-heuristic,44,3,1.0,1,1.0,44.0,44.0,0.0,0.0,0.0,14.667,9.0,16.258,0.47,15.5,44.0,44.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2145.705,2145.705,0.0,0.0,0.0,,,0.0,0.0,,49.9,13.814,72.687,0.659,57.784,64.921,61.79,55.373,0.464,103.656
k8s-kargo-ci-robot,Bot,bot-heuristic,299,2,1.0,1,1.0,299.0,299.0,0.0,0.0,0.0,149.5,149.5,85.56,0.202,60.5,299.0,299.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1182.922,1182.922,0.0,0.0,0.0,,,0.0,0.0,,3.97,0.666,8.735,0.775,3.376,4.462,1.047,7.354,0.713,5.19
jamietanna_bot,Bot,bot-heuristic,160,6,48.0,5,0.104,3.333,1.0,5.329,0.589,1.0,26.667,15.5,35.97,0.604,27.5,2.105,1.0,2.549,0.443,1.0,1.396,1.0,0.818,0.234,0.0,2.189,0.0,12.102,0.889,0.001,5.828,0.012,16.602,0.884,0.928,3.795,0.006,13.884,0.919,0.181,1.656,0.001,10.912,0.969,0.017
yaook-renovate-bot,Bot,bot-heuristic,299,5,48.0,4,0.083,6.229,3.0,11.436,0.57,3.5,59.8,64.0,60.085,0.476,54.0,1.689,1.0,1.305,0.28,1.0,2.354,2.0,0.812,0.18,1.0,1.817,0.0,7.903,0.886,0.001,1.764,0.085,4.098,0.808,1.885,2.121,0.053,4.629,0.809,1.999,0.573,0.003,1.934,0.908,0.041
project_29738620_bot_e5ded9ada0ddfda09e1d749a2ec15eb8,Bot,bot-heuristic,228,2,1.0,1,1.0,228.0,228.0,0.0,0.0,0.0,114.0,114.0,140.007,0.434,99.0,228.0,228.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2165.721,2165.721,0.0,0.0,0.0,,,0.0,0.0,,9.541,1.067,20.292,0.782,9.718,4.764,0.615,7.645,0.704,6.611
group_8953118_bot_e3cba6a87199141e5bcaf75a0bd9a4df,Bot,bot-heuristic,212,4,30.0,2,0.067,7.067,4.0,18.243,0.609,3.0,53.0,30.5,69.142,0.585,78.0,1.606,1.0,2.254,0.35,0.0,1.1,1.0,0.548,0.088,0.0,9.578,0.0,41.598,0.665,0.0,6.857,0.177,16.576,0.837,3.702,10.249,0.993,21.992,0.798,11.723,17.037,9.882,26.507,0.654,16.741
project_14477200_bot_71bd2c8d7342ab2c19f9cbd1740ce739,Bot,bot-heuristic,20,2,1.0,1,1.0,20.0,20.0,0.0,0.0,0.0,10.0,10.0,12.728,0.45,9.0,20.0,20.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1668.354,1668.354,0.0,0.0,0.0,,,0.0,0.0,,87.808,61.898,81.698,0.502,118.322,0.268,0.268,0.0,0.0,0.0
project_59518842_bot_53fa81a4d2037c5486d475f7e48451a8,Bot,bot-heuristic,61,5,1.0,1,1.0,61.0,61.0,0.0,0.0,0.0,12.2,13.0,7.981,0.328,10.0,61.0,61.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2092.013,2092.013,0.0,0.0,0.0,,,0.0,0.0,,34.867,0.049,65.478,0.795,33.031,12.978,0.002,36.223,0.888,1.286
project_59518842_bot_03d2aa2168e40ca1748fe8bff82b58f2,Bot,bot-heuristic,19,3,1.0,1,1.0,19.0,19.0,0.0,0.0,0.0,6.333,9.0,4.619,0.281,4.0,19.0,19.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1969.868,1969.868,0.0,0.0,0.0,,,0.0,0.0,,109.437,0.117,254.041,0.838,63.684,109.437,0.117,254.041,0.838,63.684
project_12674929_bot_df7417e5bef6697b7799d3027a351f72,Bot,bot-heuristic,54,1,1.0,1,1.0,54.0,54.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2169.138,2169.138,0.0,0.0,0.0,,,0.0,0.0,,40.927,6.06,83.09,0.751,40.201,,,0.0,0.0,
project_62674588_bot_a9382389da038ea1871e03a3b34bb28b,Bot,bot-heuristic,87,1,1.0,1,1.0,87.0,87.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2084.91,2084.91,0.0,0.0,0.0,,,0.0,0.0,,24.243,6.237,53.568,0.743,15.837,,,0.0,0.0,
project_57279821_bot_612687838eb0b5a47cc060f5586e4afa,Bot,bot-heuristic,16,2,1.0,1,1.0,16.0,16.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1992.919,1992.919,0.0,0.0,0.0,,,0.0,0.0,,132.861,0.001,289.806,0.806,104.006,132.861,0.001,289.806,0.806,104.006
project_15223829_bot_0b840da1600e38277ed79aebb54bb369,Bot,bot-heuristic,94,1,1.0,1,1.0,94.0,94.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2168.39,2168.39,0.0,0.0,0.0,,,0.0,0.0,,23.316,8.951,48.259,0.693,21.716,,,0.0,0.0,
project_56726842_bot_f54ca228562b5113175876912010e603,Bot,bot-heuristic,47,2,1.0,1,1.0,47.0,47.0,0.0,0.0,0.0,23.5,23.5,31.82,0.479,22.5,47.0,47.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1456.545,1456.545,0.0,0.0,0.0,,,0.0,0.0,,31.664,4.402,45.306,0.682,52.513,54.019,54.019,0.0,0.0,0.0
project_56726842_bot_75e4edc3c1e87d0b7fdc102148595550,Bot,bot-heuristic,130,5,1.0,1,1.0,130.0,130.0,0.0,0.0,0.0,26.0,34.0,18.507,0.345,28.0,130.0,130.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1398.022,1398.022,0.0,0.0,0.0,,,0.0,0.0,,10.837,0.002,25.899,0.848,0.737,13.637,0.001,29.977,0.824,0.487
project_21051488_bot_786dc808bdcfe3ff0dad82ffe2aa8973,Bot,bot-heuristic,10,1,1.0,1,1.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,96.559,96.559,0.0,0.0,0.0,,,0.0,0.0,,10.729,0.008,24.139,0.82,4.819,,,0.0,0.0,
particify-dependency-bot,Bot,bot-heuristic,290,5,2.0,1,0.5,145.0,145.0,66.468,0.162,47.0,58.0,18.0,67.346,0.53,124.0,5.686,3.0,13.281,0.55,2.5,4.0,4.0,1.414,0.125,1.0,15.122,0.008,71.819,0.938,0.016,14.508,0.492,40.21,0.839,20.823,5.179,0.01,18.66,0.876,0.988,5.358,0.009,20.767,0.894,0.984
project_59366820_bot_578383fee65d6eb47c3bc444f76e3c51,Bot,bot-heuristic,120,1,1.0,1,1.0,120.0,120.0,0.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2167.581,2167.581,0.0,0.0,0.0,,,0.0,0.0,,18.215,10.269,25.374,0.624,18.704,,,0.0,0.0,
kubitus-bot,Bot,bot-heuristic,199,6,18.0,4,0.222,11.056,6.0,11.133,0.443,9.0,33.167,31.0,32.499,0.48,58.25,2.926,2.0,5.554,0.478,2.0,3.444,3.0,0.616,0.084,1.0,0.401,0.001,2.916,0.962,0.007,1.846,0.007,4.318,0.846,0.699,0.762,0.003,3.124,0.942,0.008,0.83,0.003,3.319,0.94,0.008
